full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
microsoft/azure-skills,https://github.com/microsoft/azure-skills,1114,172,1,16,199,12,1,13976,1,1,Python,92,0,12.4,1,0.3,active
openaddresses/openaddresses,https://github.com/openaddresses/openaddresses,3178,876,427,190,14023,0,0,5018,4,1,Python,4494,0,73.8,1,12.3,active
NVIDIA/NeMo-Retriever,https://github.com/NVIDIA/NeMo-Retriever,2931,322,187,49,1424,10,1,14021,0,1,Python,645,0,29.1,1,1.8,active
chonkie-inc/chonkie,https://github.com/chonkie-inc/chonkie,4111,275,32,37,2118,43,1,18924,11,1,Python,426,0,57.2,1,1.2,active
Universal-Commerce-Protocol/ucp,https://github.com/Universal-Commerce-Protocol/ucp,3057,395,117,38,176,3,1,5690,0,1,Python,149,0,4.6,1,0.4,active
NVIDIA-NeMo/RL,https://github.com/NVIDIA-NeMo/RL,1664,400,659,112,965,9,1,35618,0,1,Python,439,0,8.6,1,1.2,active
UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai,2140,533,163,228,5823,0,1,3094,0,1,Python,927,0,25.5,1,2.5,active
dograh-hq/dograh,https://github.com/dograh-hq/dograh,3675,767,22,22,515,40,1,8201,20,1,Python,262,0,23.4,1,0.7,active
harbor-framework/harbor,https://github.com/harbor-framework/harbor,2192,1084,358,201,991,14,1,2564,3,1,Python,297,0,4.9,1,0.8,active
CharlesPikachu/videodl,https://github.com/CharlesPikachu/videodl,2148,391,8,1,766,2,1,70235,20,1,Python,2880,0,766.0,1,7.9,active
maziggy/bambuddy,https://github.com/maziggy/bambuddy,1717,206,86,40,2736,59,1,40911,12,1,Python,182,0,68.4,1,0.5,active
CharlesPikachu/musicdl,https://github.com/CharlesPikachu/musicdl,4895,623,7,1,972,1,1,56446,20,1,Python,2893,0,972.0,1,7.9,active
greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,1162,96,1,2,1648,0,1,20623,13,1,Python,106,0,824.0,1,0.3,active
aws-cloudformation/cfn-lint,https://github.com/aws-cloudformation/cfn-lint,2619,634,66,175,3346,460,1,22634,5,1,Python,2970,0,19.1,1,8.1,active
eclipse-sumo/sumo,https://github.com/eclipse-sumo/sumo,4013,1732,2965,121,51761,0,1,5402,3,1,Python,3135,0,427.8,1,8.6,active
hgmzhn/manga-translator-ui,https://github.com/hgmzhn/manga-translator-ui,1730,85,4,5,925,69,1,11822,10,1,Python,271,0,185.0,1,0.7,active
ArcReel/ArcReel,https://github.com/ArcReel/ArcReel,2395,521,37,9,509,41,1,12318,16,1,Python,111,0,56.6,1,0.3,active
radixark/miles,https://github.com/radixark/miles,1452,230,350,94,1211,0,1,9464,0,1,Python,232,0,12.9,1,0.6,active
Skillter/ProxyGather,https://github.com/Skillter/ProxyGather,111,10,3,3,6136,0,1,10866,11,0,Python,350,0,2045.3,1,1.0,active
TheRealWaldo/thermal,https://github.com/TheRealWaldo/thermal,76,7,1,6,296,22,1,9318,7,1,Python,1801,0,49.3,1,4.9,active
NevermindNilas/TheAnimeScripter,https://github.com/NevermindNilas/TheAnimeScripter,285,11,2,5,2678,105,1,16176,14,1,Python,926,0,535.6,1,2.5,active
xsrazy/Download-All-Tiktok-Videos,https://github.com/xsrazy/Download-All-Tiktok-Videos,57,10,4,1,18884,0,0,3508,0,0,Python,1184,0,18884.0,1,3.2,active
Patrowl/PatrowlHearsData,https://github.com/Patrowl/PatrowlHearsData,146,39,6,2,57808,0,0,2684,7,1,Python,1991,0,28904.0,1,5.5,active
InterDigitalInc/CompressAI-Vision,https://github.com/InterDigitalInc/CompressAI-Vision,126,12,0,12,1180,0,1,6632,6,1,Python,1352,0,98.3,1,3.7,active
databrickslabs/sandbox,https://github.com/databrickslabs/sandbox,73,58,55,24,395,24,1,1232,3,1,Python,933,0,16.5,1,2.6,active
chython/chython,https://github.com/chython/chython,52,16,15,6,358,29,1,1575,0,1,Python,1756,0,59.7,1,4.8,active
gpt-cmdr/ras-commander,https://github.com/gpt-cmdr/ras-commander,62,19,4,3,960,0,1,37807,0,1,Python,630,0,320.0,1,1.7,active
miaojiuqing/Maa_bbb,https://github.com/miaojiuqing/Maa_bbb,134,9,15,10,1340,125,1,7772,0,1,Python,239,0,134.0,1,0.7,active
alphavantage/alpha_vantage_mcp,https://github.com/alphavantage/alpha_vantage_mcp,159,39,1,4,220,0,1,37827,0,1,Python,305,0,55.0,1,0.8,active
indmdev/Free-Telegram-Store-Bot,https://github.com/indmdev/Free-Telegram-Store-Bot,114,58,11,1,726702,0,0,1928,17,1,Python,775,0,726702.0,1,2.1,active
mnaberez/py65,https://github.com/mnaberez/py65,260,73,10,9,611,0,1,2888,2,1,Python,6319,0,67.9,1,17.3,active
gongyu0918-debug/rogue-go-arena,https://github.com/gongyu0918-debug/rogue-go-arena,60,0,0,2,150,11,0,11592,6,1,Python,61,0,75.0,1,0.2,active
yuexuan521/honeypot-blocklist,https://github.com/yuexuan521/honeypot-blocklist,212,4,1,1,1797,1,1,9087,0,1,Python,157,0,1797.0,1,0.4,active
Checkora/Checkora,https://github.com/Checkora/Checkora,120,418,409,97,974,0,1,43187,0,1,Python,115,0,10.0,1,0.3,active
sartography/spiff-arena,https://github.com/sartography/spiff-arena,135,72,249,38,4985,28,1,7315,11,1,Python,1325,0,131.2,1,3.6,active
CharlesPikachu/paperdl,https://github.com/CharlesPikachu/paperdl,55,9,0,1,57,0,1,11848,10,1,Python,1557,0,57.0,1,4.3,active
ishaanbuildsthings/leetcode,https://github.com/ishaanbuildsthings/leetcode,295,37,0,1,2668,0,0,232,0,0,Python,1127,0,2668.0,1,3.1,active
dancinlab/hexa-lang,https://github.com/dancinlab/hexa-lang,224,80,3,2,8243,4,1,34879,11,1,Python,58,0,4121.5,1,0.2,active
